,gamma,beta_g,omega_g,vol_pred,vol_true_PRV,vol_true_DailyRV,loss
605,0.590195894241333,0.46352481842041016,0.0,0.00031197728822007775,2.7538091671885923e-05,7.395545253530145e-05,-2398.99560546875
606,0.5911413431167603,0.4616950750350952,0.0,0.00019701292330864817,8.182266901712865e-05,0.00015539729793090373,-2479.7451171875
607,0.5766847729682922,0.4801865816116333,0.0,0.00014953632489778101,0.00017323531210422516,0.000225084790145047,-2726.183837890625
608,0.567048966884613,0.49343669414520264,0.0,0.0001687210751697421,0.00020014152687508613,0.000801368267275393,-2847.6767578125
609,0.5549681782722473,0.509823203086853,0.0,0.0001952170568984002,0.00022098295448813587,3.0240833439165726e-05,-2900.857177734375
610,0.5469493269920349,0.5204801559448242,0.0,0.00022206253197509795,0.00022770107898395509,0.00025425650528632104,-2859.998291015625
611,0.5724536180496216,0.4857163429260254,0.0,0.00023560295812785625,0.00013825342466589063,5.572380246121611e-07,-2526.952880859375
612,0.5728843212127686,0.48521530628204346,0.0,0.0002020371612161398,4.2223226046189666e-05,6.432071677409112e-05,-2631.2802734375
613,0.5689083933830261,0.4898949861526489,0.0,0.00013556776684708893,0.00011136214743601158,9.772402700036764e-05,-2692.84619140625
614,0.5545123815536499,0.5090830326080322,0.0,0.00013086339458823204,0.0001686502218944952,2.348286761844065e-05,-2826.7548828125
615,0.5193373560905457,0.5578571557998657,0.0,0.00016128443530760705,0.00013923981168773025,0.00039056656532920897,-3038.37939453125
616,0.49130406975746155,0.5959064960479736,0.0,0.00016327569028362632,0.00023444446560461074,0.0016653073253110051,-3004.635986328125
617,0.5277585983276367,0.5432387590408325,0.0,0.00021176641166675836,0.0006197021575644612,0.00013841755571775138,-2554.84912109375
618,0.546105682849884,0.5192797183990479,0.0,0.0004356847202870995,0.00038441852666437626,4.616809292201651e-06,-1868.010009765625
619,0.5856938362121582,0.4654426574707031,0.0,0.0004166525905020535,9.446639160159975e-05,0.00016542662342544645,780.5673828125
620,0.5927723050117493,0.4572312831878662,0.0,0.000288540031760931,0.0001520259102107957,2.5845572963589802e-05,-1229.9345703125
621,0.5672668218612671,0.4909086227416992,0.0,0.00023836939362809062,0.0004958456265740097,0.00035220582503825426,-2312.5498046875
622,0.5294570326805115,0.5434608459472656,0.0,0.00039391854079440236,0.0006380494451150298,3.7802554288646206e-05,-2863.234619140625
623,0.49161380529403687,0.5955468416213989,0.0,0.0005808024434372783,0.00036055941018275917,1.135174352384638e-05,-2822.53173828125
624,0.5300837159156799,0.5391201972961426,0.0,0.0004866352246608585,0.00043391730287112296,0.00013922173820901662,-1507.876953125
625,0.5748270153999329,0.47798001766204834,0.0,0.0004782021278515458,0.00036362220998853445,3.809979716606904e-06,2115.68798828125
626,0.6059871315956116,0.43960726261138916,0.0,0.0004451785935088992,9.210494317812845e-05,3.7486654036911204e-05,-606.685791015625
627,0.5829178094863892,0.469887375831604,0.0,0.00030541399610228837,0.00018170788825955242,6.248442474543481e-08,-2167.683349609375
628,0.6034844517707825,0.44250309467315674,0.0,0.00026718663866631687,0.0003318226372357458,0.0004186123551335186,-1360.484619140625
629,0.5595945715904236,0.5025230646133423,0.0,0.00031210455927066505,0.00046430795919150114,0.00012708436406683177,-3008.648193359375
630,0.5560879111289978,0.5055952072143555,0.0,0.0004079031350556761,0.00028909448883496225,2.2400317902793176e-05,-2641.51171875
631,0.578163743019104,0.47549545764923096,0.0,0.00036850740434601903,0.0002529872872401029,5.463734487420879e-05,-2077.4482421875
632,0.5846865773200989,0.4667227268218994,0.0,0.00033277180045843124,0.0004943842650391161,1.8589009869174333e-06,-1892.6177978515625
633,0.5557019114494324,0.5057461261749268,0.0,0.0004362537292763591,6.160482735140249e-05,0.000129296604427509,-2484.4638671875
634,0.5711137652397156,0.48370158672332764,0.0,0.0002750059647951275,0.00011662041652016342,0.0001594922214280814,-1696.180908203125
635,0.6008775234222412,0.44392406940460205,0.0,0.00021912525699008256,0.0002455002104397863,4.741889824799728e-06,-22.155853271484375
636,0.5861344933509827,0.46403586864471436,0.0,0.0002408561995252967,0.0002603365574032068,4.705203082266962e-06,-1847.5721435546875
637,0.573814332485199,0.48021459579467773,0.0,0.00026314539718441665,0.00024706966360099614,0.00036131194792687893,-2045.833740234375
638,0.5618196129798889,0.49576330184936523,0.0,0.0002709183609113097,0.0002126326726283878,0.0005182746099308133,-1935.2974853515625
639,0.5939025282859802,0.4528712034225464,0.0,0.00025470185209997,0.0006464003236033022,6.222019146662205e-05,-166.71945190429688
640,0.6149569749832153,0.4280693531036377,0.0,0.00043325035949237645,0.00017886808200273663,0.00018039172573480755,-130.9739990234375
641,0.609000027179718,0.4364645481109619,0.0,0.00034461208269931376,0.00011406822159187868,3.7822093872819096e-05,-1762.265869140625
642,0.614296019077301,0.42952215671539307,0.0,0.00026006551343016326,0.0001766977075021714,8.661639731144533e-05,-1834.869873046875
643,0.5968130826950073,0.4521733522415161,0.0,0.00023412893642671406,0.00022714424994774163,3.9648846723139286e-05,-2466.864013671875
