,gamma,beta_g,omega_g,vol_pred,vol_real,loss
250,0.48536792397499084,0.3698655664920807,0.04511915147304535,0.08767318725585938,3.33741127178655e-07,-620.3250732421875
251,0.5558850169181824,0.31326383352279663,0.03186067193746567,0.07174012064933777,1.2398024864523904e-06,-668.99560546875
252,0.6243606805801392,0.26189836859703064,0.02174501307308674,0.057888634502887726,7.457051083292754e-07,-724.6615600585938
253,0.6881640553474426,0.21632272005081177,0.014395510777831078,0.04616433382034302,9.623387313695275e-07,-780.0489501953125
254,0.7455126047134399,0.17672382295131683,0.009279454126954079,0.03646395355463028,2.1267921965772985e-06,-841.5838623046875
255,0.7954202890396118,0.14297625422477722,0.005846328102052212,0.028578102588653564,1.7344686966680456e-06,-903.9560546875
256,0.8376486301422119,0.11469197273254395,0.0036149274092167616,0.02226698212325573,1.5475302461709362e-07,-967.3472290039062
257,0.8725405931472778,0.09137178957462311,0.00220067729242146,0.017266537994146347,3.5337833992343803e-07,-1009.46337890625
258,0.9008105993270874,0.07228251546621323,0.001323668984696269,0.013345681130886078,1.0030601060861954e-06,-1076.358154296875
259,0.9233548045158386,0.056966885924339294,0.0007882683421485126,0.010285516269505024,9.04521925804147e-07,-1142.524658203125
260,0.9411057233810425,0.044861167669296265,0.0004646248125936836,0.007890061475336552,6.386121071955131e-07,-1231.627197265625
261,0.9549427628517151,0.0359758697450161,0.00027252634754404426,0.006049393676221371,8.407436666857393e-07,-1316.770263671875
262,0.9656438231468201,0.031686242669820786,0.00016205340216401964,0.004717325791716576,4.167864346982242e-07,-1389.184814453125
263,0.9738665819168091,0.027480382472276688,9.504622721578926e-05,0.0036335645709186792,2.2060474691443233e-07,-1459.8966064453125
264,0.9801480770111084,0.026562150567770004,5.520226477528922e-05,0.002764146076515317,4.096029897482367e-07,-1553.845703125
265,0.9849236011505127,0.025176985189318657,3.178561746608466e-05,0.002063531894236803,1.9975925624748925e-06,-1648.8837890625
266,0.988543689250946,0.023539796471595764,1.7969821783481166e-05,0.0014836771879345179,3.147471829834103e-07,-1753.9169921875
267,0.9912858605384827,0.022436926141381264,1.097327458410291e-05,0.0011218059808015823,7.16740828465845e-07,-1844.734375
268,0.9933642148971558,0.02156718261539936,6.392451268766308e-06,0.0007853792048990726,3.4578954455355415e-07,-1953.2705078125
269,0.994941234588623,0.02007950469851494,3.82045300284517e-06,0.0005474877543747425,3.0244811455304443e-07,-2057.78662109375
270,0.9961398243904114,0.01885318197309971,2.2203985281521454e-06,0.0003616042376961559,6.962998355675154e-08,-2170.88623046875
271,0.9970518350601196,0.01784575544297695,1.2062416772096185e-06,0.00021890249627176672,3.409307964830077e-07,-2306.89990234375
272,0.9977462887763977,0.016582241281867027,7.316467076634581e-07,0.0001452963042538613,4.034745870740153e-07,-2416.08740234375
273,0.9982753992080688,0.016502922400832176,4.490546530178108e-07,9.689617581898347e-05,1.1616464234975865e-06,-2520.45361328125
274,0.9986792206764221,0.015822742134332657,2.699049161947187e-07,6.31744260317646e-05,1.0676791362129734e-06,-2624.21923828125
275,0.9989858269691467,0.013889655470848083,1.4969951678267535e-07,3.8246937037911266e-05,4.2028688085338217e-07,-2738.4462890625
276,0.9992185831069946,0.011729057878255844,1.0239572389991736e-07,2.7756052077165805e-05,3.927297029804322e-07,-2806.949462890625
277,0.9993977546691895,0.010634215548634529,5.8179349338161046e-08,1.7671698515187018e-05,7.136073776337071e-08,-2892.1572265625
278,0.99953293800354,0.009948301129043102,3.2032598795694867e-08,1.1508414900163189e-05,1.2791443282367254e-07,-2960.656005859375
279,0.9996275901794434,0.00894944742321968,1.251444636807264e-08,6.5761582845880184e-06,5.073632109997561e-07,-3013.135498046875
280,0.9996975660324097,0.007209152914583683,1.3292117628793676e-08,6.104140084062237e-06,9.022142535286548e-07,-3019.80615234375
281,0.9997543692588806,0.0070448159240186214,5.597783570010506e-09,4.215889020997565e-06,5.86519433909416e-07,-3034.587158203125
282,0.999792754650116,0.004142069257795811,1.5810380560310477e-08,5.5400860219378956e-06,3.5510575457919913e-07,-3025.904052734375
283,0.9998201727867126,0.005504259839653969,4.582628942984002e-09,3.3714329674694454e-06,2.0615553353309224e-07,-3036.28076171875
284,0.999836802482605,0.004072272218763828,7.184487671452189e-09,3.427449200898991e-06,2.7098941757230932e-08,-3036.2421875
285,0.9998441934585571,0.006043681874871254,-1.2775288604771617e-09,2.157768449251307e-06,6.44079136691289e-08,-3035.34521484375
286,0.9998500347137451,0.00046707168803550303,1.6257416746157105e-08,4.180290488875471e-06,4.0515587329537084e-07,-3035.643310546875
287,0.9998520612716675,0.0041910079307854176,3.527226510868786e-09,2.577867235231679e-06,3.0663341021863744e-07,-3033.037353515625
288,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,6.1390875316647e-07,4.128300759020931e-07,-3037.572265625
289,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,6.132388534751954e-07,1.9680812329170294e-05,-3037.6064453125
290,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.77073466906586e-07,2.4169353309844155e-06,-3018.05859375
291,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.947958806653332e-07,6.467872140092368e-07,-3015.89453125
292,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.965018653521838e-07,3.8899989363017085e-07,-3015.640869140625
293,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.785790785419522e-07,6.34398475085618e-07,-3017.802978515625
294,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.66283619668684e-07,1.468794380343752e-06,-3019.279541015625
295,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.71454551795614e-07,1.4945823068046593e-06,-3018.63037109375
296,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.689340577599069e-07,7.194893782980216e-07,-3018.932373046875
297,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.700613195993355e-07,7.545378366557998e-07,-3018.75341796875
298,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.730334345978918e-07,9.932575295579227e-08,-3018.34814453125
299,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.637640351276787e-07,1.307100063741018e-07,-3019.4296875
300,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.531712640229671e-07,5.472309112519724e-07,-3020.6767578125
301,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.536650059591921e-07,4.739594714919804e-06,-3020.56982421875
302,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.874730840740085e-07,9.696667575553874e-07,-3016.508544921875
303,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,7.917461175566132e-07,1.6795468127384083e-06,-3015.9501953125
304,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,8.045823847169231e-07,1.3529681837098906e-06,-3014.361572265625
305,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,8.136013889270544e-07,2.0976385428639333e-07,-3013.231201171875
306,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,8.137746476677421e-07,4.0581667803962773e-07,-3013.14990234375
307,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,8.137068334690412e-07,5.609575737253181e-07,-3013.105712890625
308,0.9998477697372437,0.008405718952417374,-1.1471041005961524e-08,8.127497608256817e-07,5.470760697789956e-07,-3013.17724609375
309,0.9998620748519897,0.005685287993401289,-1.0580969433959808e-09,2.1992448182572844e-06,9.676856507212506e-07,-3013.932861328125
310,0.9998816251754761,0.001947220298461616,6.409852648658898e-09,2.4245834993052995e-06,8.707810934538429e-07,-3009.34521484375
311,0.9998942613601685,0.0039827474392950535,9.138567680366805e-10,1.9606634396041045e-06,8.46889918193483e-07,-3012.254638671875
312,0.9999029636383057,0.010684908367693424,-1.1819537348856102e-08,1.7489243191448622e-06,1.1198624605412988e-07,-3017.818603515625
313,0.9999098777770996,0.008647152222692966,-8.665077544378619e-09,1.637479613236792e-06,3.828239982794912e-07,-3015.972900390625
314,0.9999135732650757,-0.005201419349759817,1.4709883977559457e-08,1.3628113038066658e-06,1.4201958720150287e-06,-3012.3232421875
315,0.9999160766601562,-0.0014887156430631876,7.913692812167028e-09,1.3051037512923358e-06,2.6276927655999316e-06,-3010.91455078125
316,0.9999170303344727,0.014361260458827019,-2.064713555682829e-08,1.2242088587299804e-06,1.1467795957287308e-06,-3019.0908203125
317,0.9999171495437622,-0.004752101842314005,1.3736447534995477e-08,1.2996813438803656e-06,1.0817019528985838e-06,-3008.4365234375
318,0.9999178647994995,4.379409801913425e-05,4.95043384063365e-09,1.2444266985767172e-06,6.040849029886886e-07,-3006.67724609375
319,0.9999188184738159,0.018811402842402458,-3.072295484685128e-08,7.349374300247291e-07,3.051943338050478e-07,-3022.87158203125
320,0.9999210834503174,0.020866351202130318,-3.512162649599304e-08,5.533595412998693e-07,1.9360761882580846e-07,-3025.126708984375
321,0.9999215602874756,0.004483712837100029,-4.03131794612932e-09,9.881850928650238e-07,1.394843820889946e-06,-3005.726806640625
322,0.9999215602874756,0.004483712837100029,-4.03131794612932e-09,9.888444765238091e-07,1.4288417560237576e-06,-3005.56884765625
323,0.9999215602874756,0.004483712837100029,-4.03131794612932e-09,9.75154762272723e-07,1.2346376934146974e-06,-3008.675537109375
324,0.9999215602874756,0.004483712837100029,-4.03131794612932e-09,9.694730351839098e-07,6.579538194273482e-07,-3009.95703125
325,0.9999215602874756,0.004483712837100029,-4.03131794612932e-09,9.360799140267773e-07,4.2592634486027237e-07,-3017.52978515625
326,0.9999215602874756,0.004483712837100029,-4.03131794612932e-09,9.300403576162353e-07,7.85065381592176e-08,-3018.87744140625
327,0.9999215602874756,0.004483712837100029,-4.03131794612932e-09,9.153108635473473e-07,4.924291374663881e-07,-3022.19482421875
328,0.9999215602874756,0.004483712837100029,-4.03131794612932e-09,9.086478485187399e-07,7.016935228421062e-07,-3023.68603515625
329,0.9999215602874756,0.004483712837100029,-4.03131794612932e-09,8.942599265537865e-07,3.621715904955636e-07,-3026.938232421875
330,0.9999215602874756,0.004483712837100029,-4.03131794612932e-09,8.918074172470369e-07,8.155695923051098e-07,-3027.469482421875
