,gamma,beta_g,omega_g,vol_pred,vol_true_PRV,vol_true_DailyRV,loss
587,0.8438230752944946,0.17210233211517334,0.0,0.0002874589990824461,0.00029971275944262743,0.00025976222241297364,-3094.87841796875
588,0.8662359118461609,0.14233767986297607,0.0,0.0002937177778221667,0.00028992287116125226,0.0008399334619753063,-2322.58203125
589,0.8812727332115173,0.1251758337020874,0.0,0.00029990787152200937,0.0003371993370819837,6.237434718059376e-06,-3044.202880859375
590,0.8768277764320374,0.13032197952270508,0.0,0.00030589522793889046,0.0006270998273976147,5.472737393574789e-05,-3042.587646484375
591,0.8747946619987488,0.13261282444000244,0.0,0.0003504011838231236,0.00012859566777478904,2.1893377777360001e-07,-3025.843994140625
592,0.862091064453125,0.14798617362976074,0.0,0.0003260976227466017,0.00014119477418716997,0.00010146221029572189,-3131.517578125
593,0.8458816409111023,0.16806483268737793,0.0,0.0003030689840670675,0.00029657798586413264,0.0005045552970841527,-3098.198974609375
594,0.8348597884178162,0.18226683139801025,0.0,0.0003083237388636917,0.000380192679585889,3.891345386364264e-06,-3000.58056640625
595,0.8258863687515259,0.19348275661468506,0.0,0.00032903513056226075,0.00040262911352328956,1.1629264008661266e-05,-3119.62744140625
596,0.8116429448127747,0.21181535720825195,0.0,0.00035589607432484627,0.00018026231555268168,0.00020500017853919417,-3055.677978515625
597,0.8211566805839539,0.1987471580505371,0.0,0.00032348951208405197,0.00035735880373977125,0.00016132669406943023,-2372.490478515625
598,0.8066199421882629,0.21762287616729736,0.0,0.0003416457329876721,0.00024521732120774686,0.00015921838348731399,-2728.50830078125
599,0.8350704312324524,0.1790928840637207,0.0,0.0003181692445650697,0.000784398231189698,0.00169255246873945,-1640.9869384765625
600,0.8547109961509705,0.15632867813110352,0.0,0.0003928705118596554,0.0007465505041182041,3.426932016736828e-05,-2992.16064453125
601,0.8289053440093994,0.19007062911987305,0.0,0.000488986843265593,0.000304709275951609,0.0001113604666898027,-3008.463134765625
602,0.8480238914489746,0.16391849517822266,0.0,0.00043925276258960366,0.00027579721063375473,2.4059429051703773e-05,-2128.27392578125
603,0.8375901579856873,0.17697429656982422,0.0,0.0004254296363797039,0.0002263682399643585,8.565012166172892e-08,-3096.60791015625
604,0.8609142303466797,0.1469714641571045,0.0,0.00038174973451532423,0.00020466522255446762,1.1946805216211942e-06,-1537.471923828125
605,0.8641663789749146,0.14318323135375977,0.0,0.0003579809272196144,2.7538091671885923e-05,7.395545253530145e-05,-3141.35302734375
606,0.8522698283195496,0.15755486488342285,0.0,0.00031252403277903795,8.182266901712865e-05,0.00015539729793090373,-3127.331298828125
607,0.8409549593925476,0.17145955562591553,0.0,0.00027587349177338183,0.00017323531210422516,0.000225084790145047,-3027.25
608,0.8311867713928223,0.18374288082122803,0.0,0.00025863584596663713,0.00020014152687508613,0.000801368267275393,-3066.445068359375
609,0.8251244425773621,0.1925443410873413,0.0,0.0002515431260690093,0.00022098295448813587,3.0240833439165726e-05,-3063.28369140625
610,0.818011462688446,0.2013791799545288,0.0,0.0002483539574313909,0.00022770107898395509,0.00025425650528632104,-3063.798095703125
611,0.8105605840682983,0.21124637126922607,0.0,0.00024850701447576284,0.00013825342466589063,5.572380246121611e-07,-3043.1240234375
612,0.7880346775054932,0.2413654327392578,0.0,0.00022819732839707285,4.2223226046189666e-05,6.432071677409112e-05,-2973.25341796875
613,0.7602214813232422,0.28016650676727295,0.0,0.00018424857989884913,0.00011136214743601158,9.772402700036764e-05,-2969.4482421875
614,0.726248562335968,0.3299654722213745,0.0,0.0001666820317041129,0.0001686502218944952,2.348286761844065e-05,-2874.4580078125
615,0.6858245134353638,0.39114558696746826,0.0,0.00017749601101968437,0.00013923981168773025,0.00039056656532920897,-3042.2998046875
616,0.6478049159049988,0.44638025760650635,0.0,0.00017735733126755804,0.00023444446560461074,0.0016653073253110051,-535.893310546875
617,0.6873359084129333,0.3840287923812866,0.0,0.00020958113600499928,0.0006197021575644612,0.00013841755571775138,-1108.6480712890625
618,0.7270500659942627,0.31968414783477783,0.0,0.00034216244239360094,0.00038441852666437626,4.616809292201651e-06,4798.06982421875
619,0.7669198513031006,0.2633795738220215,0.0,0.00033916046959348023,9.446639160159975e-05,0.00016542662342544645,-2658.111328125
620,0.8024492859840393,0.21694648265838623,0.0,0.0002719665062613785,0.0001520259102107957,2.5845572963589802e-05,-2787.244873046875
621,0.7763770222663879,0.25432562828063965,0.0,0.00026030626031570137,0.0004958456265740097,0.00035220582503825426,-3072.371826171875
622,0.7405662536621094,0.3067746162414551,0.0,0.0003521536127664149,0.0006380494451150298,3.7802554288646206e-05,-2793.50146484375
623,0.7058923840522766,0.3514450788497925,0.0,0.0004823633353225887,0.00036055941018275917,1.135174352384638e-05,2798.42626953125
624,0.7436684966087341,0.2911953926086426,0.0,0.00042978356941603124,0.00043391730287112296,0.00013922173820901662,1702.0341796875
625,0.7826480269432068,0.23843073844909668,0.0,0.0004148068546783179,0.00036362220998853445,3.809979716606904e-06,-1953.2347412109375
626,0.8172966837882996,0.19406461715698242,0.0,0.00038524038973264396,9.210494317812845e-05,3.7486654036911204e-05,-3083.41748046875
627,0.8461043834686279,0.1587381362915039,0.0,0.0003201313957106322,0.00018170788825955242,6.248442474543481e-08,-2861.99951171875
628,0.8585392236709595,0.14400851726531982,0.0,0.0002956964308395982,0.0003318226372357458,0.0004186123551335186,-3183.273193359375
629,0.8321349620819092,0.17796707153320312,0.0,0.0003150611009914428,0.00046430795919150114,0.00012708436406683177,-3061.503173828125
630,0.8511357307434082,0.1522812843322754,0.0,0.00032904616091400385,0.00028909448883496225,2.2400317902793176e-05,-1335.811279296875
631,0.8515739440917969,0.1516859531402588,0.0,0.000323708460200578,0.0002529872872401029,5.463734487420879e-05,-3088.4755859375
632,0.8420713543891907,0.1628274917602539,0.0,0.00031730090267956257,0.0004943842650391161,1.8589009869174333e-06,-2736.990966796875
633,0.8217944502830505,0.1873096227645874,0.0,0.0003588114632293582,6.160482735140249e-05,0.000129296604427509,-2579.220703125
634,0.8181063532829285,0.19148266315460205,0.0,0.0003063942422159016,0.00011662041652016342,0.0001594922214280814,-2394.861083984375
635,0.8417532444000244,0.16200125217437744,0.0,0.000271956087090075,0.0002455002104397863,4.741889824799728e-06,845.478271484375
