,vol_coef,rv_coef,resid,vol_pred,loss
582,0.9020017981529236,0.1272650957107544,0.0,0.0004923791857436299,-236.41830444335938
583,0.899737536907196,0.12979398667812347,0.0,0.00043846663902513683,-230.71640014648438
584,0.8628971576690674,0.1907115876674652,0.0,0.0003984236973337829,-1163.1461181640625
585,0.7513725161552429,0.4352567195892334,0.0,0.0003140009648632258,-1491.0594482421875
586,0.8259944319725037,0.2566232979297638,0.0,0.00025816826382651925,-1396.6229248046875
587,0.8316118717193604,0.24397441744804382,0.0,0.00021864575683139265,-1314.960693359375
588,0.8472533226013184,0.2209777981042862,0.0,0.00045768398558720946,-1221.658203125
589,0.6834501624107361,0.6649810671806335,0.0,0.0007112721214070916,-1473.890625
590,0.6798318028450012,0.6776813864707947,0.0,0.0008602192392572761,-1466.23828125
591,0.8210986256599426,0.2714303135871887,0.0,0.0004627410671673715,-1346.450927734375
592,0.7782297730445862,0.3693207800388336,0.0,0.00040542325587011874,-1430.82421875
593,0.8229807615280151,0.26567542552948,0.0,0.00031812532688491046,-1106.3431396484375
594,0.7062956690788269,0.5659553408622742,0.0,0.0002403097751084715,-1458.7467041015625
595,0.6549105644226074,0.7554742693901062,0.0,0.0004979420336894691,-1465.3408203125
596,0.5935139060020447,1.0360350608825684,0.0,0.00037718037492595613,-1442.4381103515625
597,0.6875048875808716,0.6126898527145386,0.0,0.0002217979053966701,-1385.01953125
598,0.8660572171211243,0.17213277518749237,0.0,0.00023128712200559676,676.40380859375
599,0.7277010083198547,0.48477673530578613,0.0,0.00017329512047581375,-1482.1090087890625
600,0.6943390965461731,0.5886734127998352,0.0,0.0003061853931285441,-1478.2347412109375
601,0.7373602390289307,0.4661851227283478,0.0,0.0013050561537966132,-1344.22021484375
602,0.7784945368766785,0.3604029715061188,0.0,0.0010159758385270834,-522.1016235351562
603,0.6321250796318054,1.2590358257293701,0.0,0.0021147511433809996,-1203.5198974609375
604,0.41253724694252014,2.635026693344116,0.0,0.0014166580513119698,256.2525939941406
605,0.7427849173545837,0.41823408007621765,0.0,0.0007806713692843914,7744.23779296875
606,0.8864629864692688,0.14514082670211792,0.0,0.0004735652182716876,-986.905029296875
607,0.868602454662323,0.17585378885269165,0.0,0.0005693658022210002,-1327.14892578125
608,0.8552772402763367,0.1993441879749298,0.0,0.0005104239680804312,-1432.842041015625
609,0.840115487575531,0.22739043831825256,0.0,0.00048461538972333074,-1475.90625
610,0.7699163556098938,0.3787226378917694,0.0,0.0008103324798867106,-1513.15673828125
611,0.8368109464645386,0.23715665936470032,0.0,0.001282585901208222,-1410.25
612,0.6768485903739929,0.6491945385932922,0.0,0.0018815811490640044,-1488.4326171875
613,0.6284074187278748,0.8202316761016846,0.0,0.001913322601467371,-1465.5286865234375
614,0.8672990798950195,0.17844659090042114,0.0,0.0011392864398658276,-1109.746337890625
615,0.8505744338035583,0.2092152237892151,0.0,0.0011005944106727839,-1321.9166259765625
616,0.8132616281509399,0.2817540168762207,0.0,0.001151334960013628,-1474.228759765625
617,0.8064476847648621,0.2949388027191162,0.0,0.0009544843342155218,-1457.4093017578125
618,0.7105884552001953,0.539344310760498,0.0,0.0007624965510331094,-1491.8828125
619,0.7702325582504272,0.3662624657154083,0.0,0.000613298499956727,-1447.7467041015625
620,0.7696723341941833,0.36694619059562683,0.0,0.0006348939496092498,-1440.6956787109375
621,0.636153519153595,0.7575279474258423,0.0,0.0008923840941861272,-1450.4173583984375
622,0.8652933239936829,0.17808717489242554,0.0,0.001247260719537735,-729.9016723632812
623,0.8267666697502136,0.24695153534412384,0.0,0.001242099329829216,-1307.8291015625
624,0.7524275779724121,0.41004395484924316,0.0,0.0012964997440576553,-1472.4801025390625
625,0.6238470077514648,0.808395504951477,0.0,0.0010184583952650428,-1456.8876953125
626,0.8158006072044373,0.2642127275466919,0.0,0.0011507697636261582,-1209.9853515625
627,0.8214053511619568,0.2519699037075043,0.0,0.0009346867445856333,-813.52734375
628,0.9156433939933777,0.0992119312286377,0.0,0.0007183131529018283,2236.956787109375
629,0.905947744846344,0.11427011340856552,0.0,0.0006879459833726287,666.5825805664062
630,0.802986204624176,0.29883402585983276,0.0,0.0007700175046920776,-1401.1180419921875
631,0.5884106755256653,0.985302209854126,0.0,0.0006979466998018324,-1432.753662109375
632,0.8162614107131958,0.2661500871181488,0.0,0.0005270419060252607,-1122.8284912109375
633,0.9038763642311096,0.11602167040109634,0.0,0.0006279945373535156,740.324951171875
634,0.9036291241645813,0.11586941033601761,0.0,0.0005653643165715039,745.6514892578125
635,0.9065520763397217,0.11282120645046234,0.0,0.0005197837017476559,396.57733154296875
636,0.7888460755348206,0.32557186484336853,0.0,0.0005208196816965938,-1516.576171875
637,0.8350038528442383,0.23060548305511475,0.0,0.0004514391184784472,-1451.4801025390625
638,0.8299107551574707,0.23962493240833282,0.0,0.000524173432495445,-1446.0499267578125
639,0.8297144174575806,0.23916202783584595,0.0,0.0004566921852529049,-1439.8040771484375
640,0.7956904172897339,0.3175724446773529,0.0,0.0016071537975221872,-1476.867919921875
641,0.8356011509895325,0.2357693314552307,0.0,0.0011388006387278438,-1335.185546875
642,0.6669708490371704,0.66134113073349,0.0,0.0026745740324258804,-1463.48486328125
643,0.6639832258224487,0.6729834079742432,0.0,0.005603484343737364,-1453.4810791015625
644,0.851158618927002,0.20480115711688995,0.0,0.0021757588256150484,-964.2584228515625
645,0.8178446292877197,0.26763251423835754,0.0,0.0021884844172745943,-1181.755859375
646,0.7145059108734131,0.5145547389984131,0.0,0.008424529805779457,-1344.623046875
647,0.8854135274887085,0.14849115908145905,0.0,0.002929437905550003,767.49072265625
648,0.8924499154090881,0.13966365158557892,0.0,0.002528828103095293,682.5482177734375
649,0.7915723323822021,0.3342573642730713,0.0,0.0035535283386707306,-1433.2626953125
650,0.7988144159317017,0.31705373525619507,0.0,0.0028119103517383337,-1344.44677734375
651,0.8010627627372742,0.3124517500400543,0.0,0.0023662475869059563,-1130.406494140625
652,0.6646186113357544,0.7088030576705933,0.0,0.002261078217998147,-1312.716796875
653,0.9141973257064819,0.10530564188957214,0.0,0.0016758707351982594,2172.457763671875
654,0.9145941138267517,0.10451040416955948,0.0,0.001575890346430242,2179.985595703125
655,0.668461799621582,0.6337969899177551,0.0,0.0009911258239299059,-1415.5460205078125
