,gamma,beta_g,omega_g,vol_pred,vol_real,loss
250,0.48503372073173523,0.3697713613510132,0.04514990374445915,0.08768634498119354,2.5011859179358e-06,-498.10101318359375
251,0.555565595626831,0.3131624758243561,0.031885020434856415,0.07175035774707794,1.8153024939238094e-05,-467.808837890625
252,0.6240236759185791,0.261779248714447,0.021765610203146935,0.05790114402770996,9.46993168327026e-06,-612.8763427734375
253,0.6877773404121399,0.21617239713668823,0.014414245262742043,0.04617615044116974,1.9557941413950175e-05,-572.8184814453125
254,0.7450450658798218,0.17653094232082367,0.00929718092083931,0.036477379500865936,6.0159618442412466e-05,-763.7337646484375
255,0.7948338985443115,0.14271174371242523,0.0058647645637393,0.028603918850421906,4.596999133354984e-05,-839.5548706054688
256,0.8368691205978394,0.1143481433391571,0.00363371754065156,0.022295648232102394,8.80144852999365e-07,-800.3220825195312
257,0.8716021776199341,0.09088392555713654,0.0022180790547281504,0.01729343645274639,3.249951987527311e-06,608.0782470703125
258,0.8998748064041138,0.07176855206489563,0.001338293426670134,0.013384096324443817,1.442522625438869e-05,1807.6934814453125
259,0.922494113445282,0.05633484572172165,0.000799264176748693,0.010331207886338234,1.6075200619525276e-05,968.7061767578125
260,0.9403510093688965,0.04399444907903671,0.0004720337747130543,0.007933834567666054,9.046412742463872e-06,49.5906982421875
261,0.9542608857154846,0.03452560305595398,0.000280761974863708,0.006160597782582045,1.480804985476425e-05,-995.9912719726562
262,0.9649870991706848,0.02759656496345997,0.00016502884682267904,0.004739354830235243,4.058067133883014e-06,-1109.306640625
263,0.9732787609100342,0.023552732542157173,9.769941243575886e-05,0.0036877281963825226,1.144854422818753e-06,-505.1297302246094
264,0.9796151518821716,0.021730937063694,5.763617082266137e-05,0.0028639480005949736,3.3336559681629296e-06,-1070.283447265625
265,0.9844319224357605,0.01874697580933571,3.260872108512558e-05,0.002125008497387171,1.5340576283051632e-05,-1273.463623046875
266,0.988066554069519,0.015964707359671593,1.9345390683156438e-05,0.001631485065445304,2.5381589239259483e-06,-1473.104248046875
267,0.9908565282821655,0.01486597117036581,1.2747218534059357e-05,0.001371958525851369,9.94646325125359e-06,-1562.9813232421875
268,0.9927264451980591,0.013028161600232124,6.468083483923692e-06,0.000876989564858377,3.220715143470443e-06,-1724.3115234375
269,0.9926537275314331,0.011854317970573902,6.075486453482881e-06,0.0008133146911859512,2.7466464871395146e-06,-1649.7581787109375
270,0.9940211176872253,0.010870997793972492,3.9997330532060005e-06,0.0006482219905592501,2.2082257089550694e-07,-1382.3912353515625
271,0.9937301874160767,0.010492180474102497,2.9840750812581973e-06,0.0004946676781401038,1.6820432620079373e-06,-1549.5216064453125
272,0.9926146268844604,0.010189336724579334,2.403482994850492e-06,0.00037112890277057886,3.35747176904988e-06,-1627.789306640625
273,0.9903950095176697,0.010468999855220318,1.92450806935085e-06,0.0002554311358835548,1.569047526572831e-05,-1776.245361328125
274,0.987748384475708,0.009605178609490395,3.7727743347204523e-06,0.00034125024103559554,1.9645729480544105e-05,-1810.240234375
275,0.9842192530632019,0.01048942282795906,2.7524333745532203e-06,0.00020504050189629197,5.224113920121454e-06,-1863.93701171875
276,0.9797040224075317,0.011296512559056282,3.025966634595534e-06,0.000170605126186274,4.487613750825403e-06,-1887.797607421875
277,0.9736737012863159,0.011741533875465393,3.7215411339275306e-06,0.0001546210696687922,2.66830085138281e-07,-1826.0025634765625
278,0.9660020470619202,0.015298912301659584,3.3736871500877896e-06,0.00010925262904493138,4.2296738911318243e-07,-1886.439697265625
279,0.9564160108566284,0.018658623099327087,3.6866204027319327e-06,9.177094761980698e-05,6.535029115184443e-06,-1841.133544921875
280,0.9443842172622681,0.025003129616379738,3.6490960155788343e-06,7.146717689465731e-05,1.2583652278408408e-05,-1946.6956787109375
281,0.9295849204063416,0.03305121511220932,3.6506135074887425e-06,5.6859418691601604e-05,8.118011464830488e-06,-1994.455810546875
282,0.9115205407142639,0.04327426850795746,3.6067528981220676e-06,4.5124252210371196e-05,3.4118177154596196e-06,-2052.40576171875
283,0.8903960585594177,0.05612532049417496,3.518621497278218e-06,3.5900073271477595e-05,1.4567355037797824e-06,-2053.49560546875
284,0.869469404220581,0.0722319707274437,3.2605153137410525e-06,2.8396365451044403e-05,5.2541775374947974e-08,-2028.104248046875
285,0.8471569418907166,0.09215129911899567,2.9801835808029864e-06,2.2466765585704707e-05,1.370111277765318e-07,-2071.5615234375
286,0.8226554989814758,0.11661715060472488,2.696610636121477e-06,1.7691651009954512e-05,3.9160499909485225e-06,-2089.314208984375
287,0.7949135303497314,0.14627425372600555,2.4439411845378345e-06,1.4418701539398171e-05,1.986215238503064e-06,-2096.1171875
288,0.7623497247695923,0.18174996972084045,2.230052814411465e-06,1.1630098924797494e-05,6.055359335732646e-06,-2124.159912109375
289,0.7245805859565735,0.2236890345811844,2.046049985438003e-06,1.037722086039139e-05,0.00020280790340621024,-2162.072021484375
290,0.6716869473457336,0.26815661787986755,3.156344291710411e-06,6.600364577025175e-05,7.116740744095296e-05,-2147.677978515625
291,0.6098203659057617,0.3181350529193878,4.251160135027021e-06,7.402807386824861e-05,8.469187378068455e-06,-2118.639404296875
292,0.5511642694473267,0.3757297694683075,4.563991751638241e-06,5.179164872970432e-05,3.268110276621883e-06,-2022.7177734375
293,0.48761633038520813,0.43583881855010986,5.141405836184276e-06,3.1082941859494895e-05,1.0442178790981416e-05,-1997.8076171875
294,0.4234473407268524,0.4975644648075104,5.7708166423253715e-06,2.263405804114882e-05,2.175247027480509e-05,-2083.719970703125
