,gamma,beta_g,omega_g,vol_pred,vol_real,loss
250,0.43530917167663574,0.5547506809234619,0.047204554080963135,0.08360716700553894,2.5011859179358e-06,-509.57891845703125
251,0.4046996533870697,0.5127818584442139,8.699678801349364e-06,2.0394198145368136e-05,1.8153024939238094e-05,-1867.1690673828125
252,0.4520261883735657,0.5940625667572021,0.0,1.4614081919717137e-05,9.46993168327026e-06,-1950.679443359375
253,0.4798095226287842,0.628040075302124,0.0,1.378298838972114e-05,1.9557941413950175e-05,-1859.5556640625
254,0.45589229464530945,0.6685278415679932,0.0,1.9404433260206133e-05,6.0159618442412466e-05,-1991.1490478515625
255,0.4232577979564667,0.7252228260040283,0.0,5.214896009420045e-05,4.596999133354984e-05,-2003.1025390625
256,0.39935779571533203,0.7617031335830688,0.0,5.658755253534764e-05,8.80144852999365e-07,-1902.060302734375
257,0.43341344594955444,0.6920129060745239,0.0,2.3801985662430525e-05,3.249951987527311e-06,-444.3623352050781
258,0.4761473536491394,0.6196599006652832,0.0,1.3708843653148506e-05,1.442522625438869e-05,813.943603515625
259,0.524808406829834,0.5478934049606323,0.0,1.5820172848179936e-05,1.6075200619525276e-05,36.704376220703125
260,0.5734700560569763,0.48004961013793945,0.0,1.707098272163421e-05,9.046412742463872e-06,-817.116943359375
